name,type
com.huawei.android.launcher,1
com.teslacoilsw.launcher,1
com.microsoft.launcher,1
com.gau.go.launcherex,1
com.mycheering.launcher,1
com.sonyericsson.home,1
com.jb.gosms,2
com.android.mms,2
com.netease.mobimail,3
com.microsoft.office.outlook,3
com.tencent.androidqqmail,3
com.google.android.gm,3
com.netease.mail,3
com.corp21cn.mail189,3
com.sina.mail.free,3
com.alibaba.cloudmail,3
ru.mail.mailapp,3
com.yahoo.mobile.client.android.mail,3
com.vovk.hiibook,3
cn.mailchat,3
com.huawei.email,3
me.bluemail.mail,3
com.asiainfo.android,3
com.boxer.email,3
com.richinfo.thinkmail,3
cn.cj.pe,3
ru.yandex.mail,3
de.gmx.mobile.android.mail,3
com.lotus.sync.traveler,3
com.orange.mail.fr,3
net.momentcam.aimee,4
com.sohu.inputmethod.sogou,4
com.iflytek.inputmethod,4
com.jb.gokeyboard,4
com.android.inputmethod.latin,4
com.touchtype.swiftkey,4
com.google.android.inputmethod.latin,4
com.ziipin.softkeyboard,4
com.baidu.input_huawei,4
com.tencent.tmgp.cod,4
com.google.android.inputmethod.pinyin,4
com.iflytek.inputmethod.google,4
com.iflytek.inputmethod.oppo,4
com.baidu.input,4
com.simejikeyboard,4
com.google.android.apps.handwriting.ime,4
jp.jun_nama.test.utf7ime,4
com.nuance.swype.emui,4
com.emoji.keyboard.touchpal,4
com.adamrocker.android.input.simeji,4
com.jb.emoji.gokeyboard,4
im.weshine.keyboard,4
com.netease.l22.huawei,5
com.netease.dwrg.huawei,5
com.miHoYo.Yuanshen,5
com.netease.ma84,5
com.netease.mc.huawei,5
com.netease.yyslscn.huawei,5
com.netease.sjzw,5
com.papegames.lysk.cn,5
com.blizzard.wtcg.hearthstone,5
com.tencent.lolm,5
com.papegames.infinitynikki,5
com.netease.pes.huawei,5
com.fingersoft.hillclimb.noncmcc.huawei,5
com.tencent.jkchess,5
com.netease.dfjs.huawei,5
com.tuyoo.doudizhu.huawei,5
com.zebra.ichess,5
com.happyelements.AndroidAnimal.qq,5
com.netease.lrs.huawei,5
com.aligames.kuang.kybc.huawei,5
com.netease.lglr,5
com.hanjiasongshu.jianghux2,5
com.bilibili.warmsnow,5
com.sinyee.babybus.candy,5
com.sinyee.babybus.taxi,5
com.sinyee.babybus.automobilecity,5
com.netease.party.huawei,5
com.tencent.nfsonline,5
com.blizzard.wtcg.hearthstone.cn.huawei,5
com.tencent.tmgp.supercell.clashofclans,5
com.carrot.carrotfantasy,5
com.miHoYo.bh3.huawei,5
com.gamestar.perfectpiano,5
com.cnit_research.cnit2048,5
com.tencent.tmgp.jnbg2,5
com.yodo1.ctr22.HUAWEI,5
com.king.candycrushjellysaga,5
org.islq.move2048,5
com.ustwo.monumentvalleyzz.huawei,5
com.king.candycrushsodasaga.huawei,5
com.feiyu.carrot3.huawei,5
com.tencent.tmgp.supercell.clashroyale,5
com.outfit7.mytalkingtomfree.HUAWEI,5
com.miga.world,5
com.outfit7.mytalkingtom2.huawei,5
com.ea.simcitymobile.huawei,5
com.indeed.golinks,5
com.tencent.tmgp.sgame,5
com.tencent.tmgp.speedmobile,5
com.netease.my,5
com.netease.l10,5
com.xd.ro.roapk,5
jp.co.hit_point.tabikaeru,5
com.miHoYo.wd,5
com.hypergryph.arknights,5
com.papegames.lysk.cn.huawei,5
com.popcap.pvz2cthdhwct,5
com.rovio.baba,5
com.espn.score_center,5
com.zlongame.mhmnz.huawei,5
com.miHoYo.hkrpg,5
com.kurogame.mingchao,5
com.imangi.templerun2,5
com.martian.RoomEscape12.huawei,5
com.netease.nshm,5
com.tencent.tmgp.pubgmhd,5
com.miHoYo.enterprise.NGHSoD,5
